gid,___case,simpledate,year,month,time,hour,minute,datetime,injured,county,created_at,updated_at,cartodb_id,hex_id,geom
7393,3403248,20070911,2007,9,2:45 p.m.,14,45,09/11/2007 2:45 p.m.,1,Sonoma,2013-09-25,2013-09-28,7393,,0101000020E610000075EF970549BF5EC08C852172FA494340
8609,3694078,20080409,2008,4,3:04 p.m.,15,4,04/09/2008 3:04 p.m.,1,Sonoma,2013-09-25,2013-09-28,8609,,0101000020E6100000EC4F3D2D1AC15EC02E14556419674340
1,3982945,20090112,2009,1,3:26 p.m.,15,26,01/12/2009 3:26 p.m.,0,Contra Costa,2013-09-25,2013-09-28,1,h0.180883095917439,0101000020E61000005B3B511212915EC0B58311FB04F44240
2,3982946,20090203,2009,2,10:50 a.m.,10,50,02/03/2009 10:50 a.m.,1,Marin,2013-09-25,2013-09-28,2,h0.377286496543906,0101000020E61000002012CF2390A65EC03E25E7C41E0E4340
3,1813537,20050106,2005,1,6:43 p.m.,18,43,01/06/2005 6:43 p.m.,1,Alameda,2013-09-25,2013-09-28,3,h0.332299768094237,0101000020E61000007AB7C3703F855EC013FB157CE4D44240
4,1814075,20050106,2005,1,4:34 p.m.,16,34,01/06/2005 4:34 p.m.,1,Napa,2013-09-25,2013-09-28,4,h0.539443326221796,0101000020E610000051431B800D925EC026F26E76B5274340
5,1817040,20050110,2005,1,6:30 p.m.,18,30,01/10/2005 6:30 p.m.,1,Santa Clara,2013-09-25,2013-09-28,5,h0.75454403195714,0101000020E6100000D7D75F1B16735EC061F8889812AA4240
6,1817088,20050110,2005,1,3:59 p.m.,15,59,01/10/2005 3:59 p.m.,1,Santa Clara,2013-09-25,2013-09-28,6,h0.744950823952675,0101000020E6100000E1928895F6765EC0A1AA532F09A04240
7,1817244,20050103,2005,1,5:15 p.m.,17,15,01/03/2005 5:15 p.m.,1,Santa Clara,2013-09-25,2013-09-28,7,h0.554186306366022,0101000020E610000005F467E498815EC088E29F6351AE4240
8,1817254,20050108,2005,1,9:29 p.m.,21,29,01/08/2005 9:29 p.m.,1,Santa Clara,2013-09-25,2013-09-28,8,h0.556432253843091,0101000020E6100000701BB226BB7F5EC0228326D3B2B24240
